Unnamed: 0,indonesian,english,contoh_penggunaan
490,doktrin,axiom,Mereka dicekoki doktrin yang menyesatkan.
491,doktrin,belief,Mereka dicekoki doktrin yang menyesatkan.
492,doktrin,doctrine,Mereka dicekoki doktrin yang menyesatkan.
493,doktrin,teachings,Mereka dicekoki doktrin yang menyesatkan.
494,duka,grief,Suasana duka menyelimuti rumah itu.
495,duka,mourning,Suasana duka menyelimuti rumah itu.
496,duka,sorrow,Suasana duka menyelimuti rumah itu.
497,duka,woe,Suasana duka menyelimuti rumah itu.
498,dukung,approve,Saya dukung keputusanmu sepenuhnya.
499,dukung,endorse,Saya dukung keputusanmu sepenuhnya.
500,dukung,support,Saya dukung keputusanmu sepenuhnya.
501,dukungan,encouragement,Kami butuh dukungan dari semua pihak.
502,dukungan,endorsement,Kami butuh dukungan dari semua pihak.
503,dukungan,endrorsement,Kami butuh dukungan dari semua pihak.
504,dukungan,support,Kami butuh dukungan dari semua pihak.
505,efektif,effective,Cara ini sangat efektif untuk menghemat waktu.
506,eksklusif,certain,Berita ini disiarkan secara eksklusif.
507,eksklusif,exclusive,Berita ini disiarkan secara eksklusif.
508,eksklusif,particular,Berita ini disiarkan secara eksklusif.
509,eksklusif,special,Berita ini disiarkan secara eksklusif.
510,eksklusif,specific,Berita ini disiarkan secara eksklusif.
511,empati,compassion,Kita harus punya rasa empati terhadap sesama.
512,empati,empathy,Kita harus punya rasa empati terhadap sesama.
513,empati,feelings,Kita harus punya rasa empati terhadap sesama.
514,empati,sympathy,Kita harus punya rasa empati terhadap sesama.
515,empati,understanding,Kita harus punya rasa empati terhadap sesama.
516,fitnah,defamation,Fitnah lebih kejam daripada pembunuhan.
517,fitnah,denigration,Fitnah lebih kejam daripada pembunuhan.
518,fitnah,libel,Fitnah lebih kejam daripada pembunuhan.
519,fitnah,lie,Fitnah lebih kejam daripada pembunuhan.
520,fitnah,slander,Fitnah lebih kejam daripada pembunuhan.
521,fitnah,smear,Fitnah lebih kejam daripada pembunuhan.
522,fitnah,vilification,Fitnah lebih kejam daripada pembunuhan.
523,fokus,concentrate,Kamu harus fokus saat belajar.
524,fokus,focus,Kamu harus fokus saat belajar.
525,fokus,point,Kamu harus fokus saat belajar.
526,fokus,purpose,Kamu harus fokus saat belajar.
527,gagah,bold,Tentara itu terlihat sangat gagah.
528,gagah,brave,Tentara itu terlihat sangat gagah.
529,gagah,brawny,Tentara itu terlihat sangat gagah.
530,gagah,dashing,Tentara itu terlihat sangat gagah.
531,gagah,gallant,Tentara itu terlihat sangat gagah.
532,gagah,heroic,Tentara itu terlihat sangat gagah.
533,gagah,lion-hearted,Tentara itu terlihat sangat gagah.
534,gagah,manly,Tentara itu terlihat sangat gagah.
535,gagah,muscular,Tentara itu terlihat sangat gagah.
536,gagah,strong,Tentara itu terlihat sangat gagah.
537,gagah,valiant,Tentara itu terlihat sangat gagah.
538,gagal,bomb,Jangan menyerah meski pernah gagal.
539,gagal,collapse,Jangan menyerah meski pernah gagal.
540,gagal,fail,Jangan menyerah meski pernah gagal.
541,gagal,failed,Jangan menyerah meski pernah gagal.
542,gagal,flop,Jangan menyerah meski pernah gagal.
543,gagal,flunk,Jangan menyerah meski pernah gagal.
544,gagal,unsuccesful,Jangan menyerah meski pernah gagal.
545,gampang,convenient,Soal ujian ini sangat gampang.
546,gampang,easy,Soal ujian ini sangat gampang.
547,gampang,ez,Soal ujian ini sangat gampang.
548,gampang,piece of cake,Soal ujian ini sangat gampang.
549,gampang,simple,Soal ujian ini sangat gampang.
550,gampang,straightforward,Soal ujian ini sangat gampang.
551,ganggu,annoy,"Maaf, bolehkah saya ganggu sebentar?"
552,ganggu,bother,"Maaf, bolehkah saya ganggu sebentar?"
553,ganggu,disturb,"Maaf, bolehkah saya ganggu sebentar?"
554,ganggu,mess with,"Maaf, bolehkah saya ganggu sebentar?"
555,gaya,fashion,Gaya rambutnya sangat unik.
556,gaya,manner,Gaya rambutnya sangat unik.
557,gaya,style,Gaya rambutnya sangat unik.
558,gaya,trend,Gaya rambutnya sangat unik.
559,gaya,way,Gaya rambutnya sangat unik.
560,gelap,dark,Ruangan ini sangat gelap.
561,gelap,illegal,Ruangan ini sangat gelap.
562,gelap,illicit,Ruangan ini sangat gelap.
563,gelap,murky,Ruangan ini sangat gelap.
564,gelap,shadowy,Ruangan ini sangat gelap.
565,gelap,shady,Ruangan ini sangat gelap.
566,gelap,tan,Ruangan ini sangat gelap.
567,gentar,afraid,Kami tidak gentar menghadapi musuh.
568,gentar,fear,Kami tidak gentar menghadapi musuh.
569,gentar,intimidated,Kami tidak gentar menghadapi musuh.
570,gentar,quiver,Kami tidak gentar menghadapi musuh.
571,gentar,scared,Kami tidak gentar menghadapi musuh.
572,gentar,tremble,Kami tidak gentar menghadapi musuh.
573,gertak,bluff,"Jangan takut, itu hanya gertak sambal."
574,gertak,bully,"Jangan takut, itu hanya gertak sambal."
575,gertak,intimidate,"Jangan takut, itu hanya gertak sambal."
576,gertak,scare off,"Jangan takut, itu hanya gertak sambal."
577,gertak,snarl,"Jangan takut, itu hanya gertak sambal."
578,gertak,threaten,"Jangan takut, itu hanya gertak sambal."
579,gila,bonkers,Orang itu tertawa sendiri seperti orang gila.
580,gila,crazy,Orang itu tertawa sendiri seperti orang gila.
581,gila,insane,Orang itu tertawa sendiri seperti orang gila.
582,gila,lunatic,Orang itu tertawa sendiri seperti orang gila.
583,gila,mad,Orang itu tertawa sendiri seperti orang gila.
584,gila,maniac,Orang itu tertawa sendiri seperti orang gila.
585,gila,nuts,Orang itu tertawa sendiri seperti orang gila.
586,gila,off the rocker,Orang itu tertawa sendiri seperti orang gila.
587,gila,out of mind,Orang itu tertawa sendiri seperti orang gila.
588,gila,rabid,Orang itu tertawa sendiri seperti orang gila.
589,guncang,jolt,Berita itu guncang dunia maya.
590,guncang,rattle,Berita itu guncang dunia maya.
591,guncang,shake,Berita itu guncang dunia maya.
592,guncang,shudder,Berita itu guncang dunia maya.
593,guncangan,quake,Guncangan gempa terasa sangat kuat.
594,guncangan,shock,Guncangan gempa terasa sangat kuat.
595,ha,ha,Ha! Akhirnya aku menemukanmu.
596,ha,ha!,Ha! Akhirnya aku menemukanmu.
597,ha,huh,Ha! Akhirnya aku menemukanmu.
598,ha,lol,Ha! Akhirnya aku menemukanmu.
599,ha,wdym,Ha! Akhirnya aku menemukanmu.
600,ha,what,Ha! Akhirnya aku menemukanmu.
601,habis,all out,Makanan di piring sudah habis.
602,habis,done,Makanan di piring sudah habis.
603,habis,finish,Makanan di piring sudah habis.
604,habis,finished,Makanan di piring sudah habis.
605,habis,over,Makanan di piring sudah habis.
606,habis,run out,Makanan di piring sudah habis.
607,hal,case,Ada satu hal yang ingin saya tanyakan.
608,hal,matter,Ada satu hal yang ingin saya tanyakan.
609,hal,regard,Ada satu hal yang ingin saya tanyakan.
610,hal,stuff,Ada satu hal yang ingin saya tanyakan.
611,hal,subject,Ada satu hal yang ingin saya tanyakan.
612,hal,thing,Ada satu hal yang ingin saya tanyakan.
613,hancur,broken,Hatiku hancur melihat kejadian itu.
614,hancur,busted up,Hatiku hancur melihat kejadian itu.
615,hancur,destroyed,Hatiku hancur melihat kejadian itu.
616,hancur,smashed,Hatiku hancur melihat kejadian itu.
617,hancur,wrecked,Hatiku hancur melihat kejadian itu.
618,hantu,apparition,Anak-anak takut cerita hantu.
619,hantu,devil,Anak-anak takut cerita hantu.
620,hantu,ghost,Anak-anak takut cerita hantu.
621,hantu,monster,Anak-anak takut cerita hantu.
622,hantu,shadow,Anak-anak takut cerita hantu.
623,hantu,spectre,Anak-anak takut cerita hantu.
624,hantu,spirit,Anak-anak takut cerita hantu.
625,hantu,spook,Anak-anak takut cerita hantu.
626,harapan,expectation,Masih ada harapan untuk sembuh.
627,harapan,hope,Masih ada harapan untuk sembuh.
628,harapan,prospect,Masih ada harapan untuk sembuh.
629,harga,cost,Harga cabai sedang naik.
630,harga,price,Harga cabai sedang naik.
631,harga,rate,Harga cabai sedang naik.
632,harga,value,Harga cabai sedang naik.
633,harga,worth,Harga cabai sedang naik.
634,harta,property,Kesehatan adalah harta yang paling berharga.
635,harta,riches,Kesehatan adalah harta yang paling berharga.
636,harta,treasure,Kesehatan adalah harta yang paling berharga.
637,harta,wealth,Kesehatan adalah harta yang paling berharga.
638,hasil,fruit,Usaha keras akan membuahkan hasil.
639,hasil,outcome,Usaha keras akan membuahkan hasil.
640,hasil,output,Usaha keras akan membuahkan hasil.
641,hasil,payoff,Usaha keras akan membuahkan hasil.
642,hasil,product,Usaha keras akan membuahkan hasil.
643,hasil,result,Usaha keras akan membuahkan hasil.
644,hati,feeling,Jaga hati dan perasaanmu.
645,hati,heart,Jaga hati dan perasaanmu.
646,hati,liver,Jaga hati dan perasaanmu.
647,hati,soul,Jaga hati dan perasaanmu.
648,hati-hati,beware,Hati-hati di jalan ya.
649,hati-hati,careful,Hati-hati di jalan ya.
650,hati-hati,cautious,Hati-hati di jalan ya.
651,hati-hati,conscious,Hati-hati di jalan ya.
652,hati-hati,mindful,Hati-hati di jalan ya.
653,hati-hati,safely,Hati-hati di jalan ya.
654,hati-hati,wary,Hati-hati di jalan ya.
655,hebat,amazing,Kamu memang anak yang hebat.
656,hebat,awesome,Kamu memang anak yang hebat.
657,hebat,excellent,Kamu memang anak yang hebat.
658,hebat,extraordinary,Kamu memang anak yang hebat.
659,hebat,fabulous,Kamu memang anak yang hebat.
660,hebat,great,Kamu memang anak yang hebat.
661,hebat,impressive,Kamu memang anak yang hebat.
662,hebat,remarkable,Kamu memang anak yang hebat.
663,hebat,spectacular,Kamu memang anak yang hebat.
664,hebat,splendid,Kamu memang anak yang hebat.
665,hebat,superb,Kamu memang anak yang hebat.
666,hebat,terrific,Kamu memang anak yang hebat.
667,hebat,wonderful,Kamu memang anak yang hebat.
668,heboh,excited,Berita itu membuat warga heboh.
669,heboh,exciting,Berita itu membuat warga heboh.
670,heboh,lively,Berita itu membuat warga heboh.
671,heboh,noisy,Berita itu membuat warga heboh.
672,heboh,up in arms,Berita itu membuat warga heboh.
673,heroik,heroic,Aksi penyelamatan itu sangat heroik.
674,hidup,exist,Hidup adalah perjuangan.
675,hidup,existence,Hidup adalah perjuangan.
676,hidup,life,Hidup adalah perjuangan.
677,hidup,live,Hidup adalah perjuangan.
678,hilang,disappear,Dompet saya hilang di pasar.
679,hilang,go away,Dompet saya hilang di pasar.
680,hilang,gone,Dompet saya hilang di pasar.
681,hilang,lost,Dompet saya hilang di pasar.
682,hilang,missing,Dompet saya hilang di pasar.
683,hilang,vanish,Dompet saya hilang di pasar.
684,hukum,law,Hukum harus ditegakkan dengan adil.
685,ikut,engage,Saya ingin ikut pergi ke pantai.
686,ikut,follow,Saya ingin ikut pergi ke pantai.
687,ikut,go along,Saya ingin ikut pergi ke pantai.
688,ikut,go in,Saya ingin ikut pergi ke pantai.
689,ikut,join,Saya ingin ikut pergi ke pantai.
690,ikut,partake,Saya ingin ikut pergi ke pantai.
691,ikut,participate,Saya ingin ikut pergi ke pantai.
692,ikut,string along,Saya ingin ikut pergi ke pantai.
693,ikut,take after,Saya ingin ikut pergi ke pantai.
694,ikut,take part,Saya ingin ikut pergi ke pantai.
695,ilham,epiphany,Pemandangan ini memberiku ilham untuk melukis.
696,ilham,insight,Pemandangan ini memberiku ilham untuk melukis.
697,ilham,inspiration,Pemandangan ini memberiku ilham untuk melukis.
698,ilham,revelation,Pemandangan ini memberiku ilham untuk melukis.
699,iman,belief,Perkuat iman dan takwa kita.
700,iman,believe,Perkuat iman dan takwa kita.
701,iman,creed,Perkuat iman dan takwa kita.
702,iman,faith,Perkuat iman dan takwa kita.
703,indah,attractive,Pemandangan di sini sangat indah.
704,indah,beautiful,Pemandangan di sini sangat indah.
705,indah,breathtaking,Pemandangan di sini sangat indah.
706,indah,lovely,Pemandangan di sini sangat indah.
707,indah,magnificent,Pemandangan di sini sangat indah.
708,indah,picturesque,Pemandangan di sini sangat indah.
709,indah,sightly,Pemandangan di sini sangat indah.
710,ingat,have in mind,Saya tidak ingat nama orang itu.
711,ingat,remember,Saya tidak ingat nama orang itu.
712,ingin,aspire,Saya ingin makan bakso.
713,ingin,desire,Saya ingin makan bakso.
714,ingin,wanna,Saya ingin makan bakso.
715,ingin,want,Saya ingin makan bakso.
716,ingin,wish,Saya ingin makan bakso.
717,ingin,would like,Saya ingin makan bakso.
718,interogasi,interrogation,Polisi melakukan interogasi terhadap tersangka.
719,interogasi,questioning,Polisi melakukan interogasi terhadap tersangka.
720,isi,body,Tolong isi botol ini dengan air.
721,isi,content,Tolong isi botol ini dengan air.
722,isi,filling,Tolong isi botol ini dengan air.
723,isi,inside,Tolong isi botol ini dengan air.
724,isi,stuffing,Tolong isi botol ini dengan air.
725,istimewa,different,Hari ini adalah hari yang istimewa.
726,istimewa,distinctive,Hari ini adalah hari yang istimewa.
727,istimewa,excellent,Hari ini adalah hari yang istimewa.
728,istimewa,exceptional,Hari ini adalah hari yang istimewa.
729,istimewa,exclusive,Hari ini adalah hari yang istimewa.
730,istimewa,extraordinary,Hari ini adalah hari yang istimewa.
731,istimewa,particular,Hari ini adalah hari yang istimewa.
732,istimewa,preferential,Hari ini adalah hari yang istimewa.
733,istimewa,priviledged,Hari ini adalah hari yang istimewa.
734,istimewa,remarkable,Hari ini adalah hari yang istimewa.
735,istimewa,special,Hari ini adalah hari yang istimewa.
736,jahat,bad,Tokoh jahat itu akhirnya kalah.
737,jahat,corrupt,Tokoh jahat itu akhirnya kalah.
738,jahat,devilish,Tokoh jahat itu akhirnya kalah.
739,jahat,diabolical,Tokoh jahat itu akhirnya kalah.
740,jahat,evil,Tokoh jahat itu akhirnya kalah.
741,jahat,malicious,Tokoh jahat itu akhirnya kalah.
742,jahat,mean,Tokoh jahat itu akhirnya kalah.
743,jahat,scummy,Tokoh jahat itu akhirnya kalah.
744,jahat,sinister,Tokoh jahat itu akhirnya kalah.
745,jahat,villanous,Tokoh jahat itu akhirnya kalah.
746,jahat,wicked,Tokoh jahat itu akhirnya kalah.
747,jamin,assure,Saya jamin barang ini asli.
748,jamin,guarantee,Saya jamin barang ini asli.
749,jatuh,collapse,Adik jatuh dari sepeda.
750,jatuh,crash,Adik jatuh dari sepeda.
751,jatuh,drop,Adik jatuh dari sepeda.
752,jatuh,fall,Adik jatuh dari sepeda.
753,jatuh,fall down,Adik jatuh dari sepeda.
754,jatuh,fall off,Adik jatuh dari sepeda.
755,jatuh,fall over,Adik jatuh dari sepeda.
756,jatuh,slip up,Adik jatuh dari sepeda.
757,jatuh,trip,Adik jatuh dari sepeda.
758,jatuh,tumble,Adik jatuh dari sepeda.
759,jawab,answer,Silakan jawab pertanyaan nomor satu.
760,jawab,reply,Silakan jawab pertanyaan nomor satu.
761,jawab,respond,Silakan jawab pertanyaan nomor satu.
762,jaya,glorious,Semoga Indonesia tetap jaya.
763,jaya,prosperous,Semoga Indonesia tetap jaya.
764,jaya,successful,Semoga Indonesia tetap jaya.
765,jaya,triumphant,Semoga Indonesia tetap jaya.
766,jaya,victorious,Semoga Indonesia tetap jaya.
767,jaya,victorius,Semoga Indonesia tetap jaya.
768,jelas,certain,Penjelasannya sangat jelas dan mudah dimengerti.
769,jelas,clear,Penjelasannya sangat jelas dan mudah dimengerti.
770,jelas,definite,Penjelasannya sangat jelas dan mudah dimengerti.
771,jelas,evident,Penjelasannya sangat jelas dan mudah dimengerti.
772,jelas,explicit,Penjelasannya sangat jelas dan mudah dimengerti.
773,jelas,obvious,Penjelasannya sangat jelas dan mudah dimengerti.
774,jelas,plain,Penjelasannya sangat jelas dan mudah dimengerti.
775,jelas,sure,Penjelasannya sangat jelas dan mudah dimengerti.
776,jelas,transparent,Penjelasannya sangat jelas dan mudah dimengerti.
777,jelas,vivid,Penjelasannya sangat jelas dan mudah dimengerti.
778,jelek,apalling,Jangan berkata jelek tentang orang lain.
779,jelek,awful,Jangan berkata jelek tentang orang lain.
780,jelek,bad,Jangan berkata jelek tentang orang lain.
781,jelek,crummy,Jangan berkata jelek tentang orang lain.
782,jelek,disreputable,Jangan berkata jelek tentang orang lain.
783,jelek,horrible,Jangan berkata jelek tentang orang lain.
784,jelek,lousy,Jangan berkata jelek tentang orang lain.
785,jelek,nasty,Jangan berkata jelek tentang orang lain.
786,jelek,poor,Jangan berkata jelek tentang orang lain.
787,jelek,shitty,Jangan berkata jelek tentang orang lain.
788,jelek,shoddy,Jangan berkata jelek tentang orang lain.
789,jelek,terrible,Jangan berkata jelek tentang orang lain.
790,jelek,ugly,Jangan berkata jelek tentang orang lain.
791,jenis,kind,Ada berbagai jenis bunga di taman ini.
792,jenis,type,Ada berbagai jenis bunga di taman ini.
793,jenis,variety,Ada berbagai jenis bunga di taman ini.
794,jual,offer,Paman jual sayur di pasar.
795,jual,sell,Paman jual sayur di pasar.
796,kalah,beaten,Tim kami kalah dalam pertandingan.
797,kalah,defeated,Tim kami kalah dalam pertandingan.
798,kalah,fail,Tim kami kalah dalam pertandingan.
799,kalah,lose,Tim kami kalah dalam pertandingan.
800,kalah,lost,Tim kami kalah dalam pertandingan.
801,kalah,owned,Tim kami kalah dalam pertandingan.
802,kalimat,clause,"Buatlah kalimat dengan kata ""budi""."
803,kalimat,sentence,"Buatlah kalimat dengan kata ""budi""."
804,kapal,ark,Kapal feri menyeberangi selat.
805,kapal,boat,Kapal feri menyeberangi selat.
806,kapal,canoe,Kapal feri menyeberangi selat.
807,kapal,craft,Kapal feri menyeberangi selat.
808,kapal,ship,Kapal feri menyeberangi selat.
809,kapal,vessel,Kapal feri menyeberangi selat.
810,karya,creation,Lukisan ini adalah karya seniman terkenal.
811,karya,opus,Lukisan ini adalah karya seniman terkenal.
812,karya,product,Lukisan ini adalah karya seniman terkenal.
813,karya,work,Lukisan ini adalah karya seniman terkenal.
814,kasihan,feel sorry,Saya merasa kasihan pada kucing itu.
815,kasihan,pity,Saya merasa kasihan pada kucing itu.
816,kaya,prosperous,Dia ingin menjadi orang kaya.
817,kaya,rich,Dia ingin menjadi orang kaya.
818,kaya,stacked,Dia ingin menjadi orang kaya.
819,kaya,wealthy,Dia ingin menjadi orang kaya.
820,kaya,well-off,Dia ingin menjadi orang kaya.
821,kaya,well-to-do,Dia ingin menjadi orang kaya.
822,keadilan,equity,Kita menuntut keadilan bagi korban.
823,keadilan,fairness,Kita menuntut keadilan bagi korban.
824,keadilan,justice,Kita menuntut keadilan bagi korban.
825,keamanan,peace,Petugas keamanan menjaga gedung itu.
826,keamanan,safety,Petugas keamanan menjaga gedung itu.
827,keamanan,security,Petugas keamanan menjaga gedung itu.
828,kebaikan,amicability,Terima kasih atas kebaikan Anda.
829,kebaikan,charity,Terima kasih atas kebaikan Anda.
830,kebaikan,cordiality,Terima kasih atas kebaikan Anda.
831,kebaikan,generosity,Terima kasih atas kebaikan Anda.
832,kebaikan,good,Terima kasih atas kebaikan Anda.
833,kebaikan,good deed,Terima kasih atas kebaikan Anda.
834,kebaikan,goodness,Terima kasih atas kebaikan Anda.
835,kebaikan,kind,Terima kasih atas kebaikan Anda.
836,kebaikan,kindness,Terima kasih atas kebaikan Anda.
837,kebaikan,virtue,Terima kasih atas kebaikan Anda.
838,kebencian,aversion,Jangan menanam rasa kebencian.
839,kebencian,disgust,Jangan menanam rasa kebencian.
840,kebencian,distaste,Jangan menanam rasa kebencian.
841,kebencian,enmity,Jangan menanam rasa kebencian.
842,kebencian,hate,Jangan menanam rasa kebencian.
843,kebencian,hatred,Jangan menanam rasa kebencian.
844,kebencian,hostility,Jangan menanam rasa kebencian.
845,kebencian,loathing,Jangan menanam rasa kebencian.
846,kebencian,malice,Jangan menanam rasa kebencian.
847,kebencian,resentment,Jangan menanam rasa kebencian.
848,keberanian,audacity,Keberaniannya patut diacungi jempol.
849,keberanian,balls,Keberaniannya patut diacungi jempol.
850,keberanian,boldness,Keberaniannya patut diacungi jempol.
851,keberanian,bravery,Keberaniannya patut diacungi jempol.
852,keberanian,courage,Keberaniannya patut diacungi jempol.
853,keberanian,fearlessness,Keberaniannya patut diacungi jempol.
854,keberanian,guts,Keberaniannya patut diacungi jempol.
855,keberanian,nerve,Keberaniannya patut diacungi jempol.
856,keberanian,spunk,Keberaniannya patut diacungi jempol.
857,keberanian,valor,Keberaniannya patut diacungi jempol.
858,kebetulan,accident,Kebetulan saya juga mau ke sana.
859,kebetulan,by chance,Kebetulan saya juga mau ke sana.
860,kebetulan,chance,Kebetulan saya juga mau ke sana.
861,kebetulan,coincidence,Kebetulan saya juga mau ke sana.
862,kebetulan,fluke,Kebetulan saya juga mau ke sana.
863,kebetulan,luck,Kebetulan saya juga mau ke sana.
864,kecewa,disappoint,Ayah kecewa karena nilaiku turun.
865,kecewa,disappointed,Ayah kecewa karena nilaiku turun.
866,kecewa,frustated,Ayah kecewa karena nilaiku turun.
867,kecewa,let down,Ayah kecewa karena nilaiku turun.
868,kehancuran,destruction,Perang hanya membawa kehancuran.
869,kehancuran,downfall,Perang hanya membawa kehancuran.
870,kehancuran,ruination,Perang hanya membawa kehancuran.
871,kehancuran,undoing,Perang hanya membawa kehancuran.
872,kehilangan,loss,Ibu merasa kehilangan dompetnya.
873,kehilangan,lost,Ibu merasa kehilangan dompetnya.
874,kehilangan,miss,Ibu merasa kehilangan dompetnya.
875,kehilangan,missing,Ibu merasa kehilangan dompetnya.
876,kejahatan,atrocity,Angka kejahatan di kota ini menurun.
877,kejahatan,crime,Angka kejahatan di kota ini menurun.
878,kejahatan,evil,Angka kejahatan di kota ini menurun.
879,kejahatan,harm,Angka kejahatan di kota ini menurun.
880,kejahatan,misdeed,Angka kejahatan di kota ini menurun.
881,kejahatan,offence,Angka kejahatan di kota ini menurun.
882,kejahatan,villainy,Angka kejahatan di kota ini menurun.
883,kejahatan,wickedness,Angka kejahatan di kota ini menurun.
884,kejam,abusive,Raja itu sangat kejam pada rakyatnya.
885,kejam,barbaric,Raja itu sangat kejam pada rakyatnya.
886,kejam,brutal,Raja itu sangat kejam pada rakyatnya.
887,kejam,cruel,Raja itu sangat kejam pada rakyatnya.
888,kejam,cutthroat,Raja itu sangat kejam pada rakyatnya.
889,kejam,diabolical,Raja itu sangat kejam pada rakyatnya.
890,kejam,harsh,Raja itu sangat kejam pada rakyatnya.
891,kejam,heartless,Raja itu sangat kejam pada rakyatnya.
892,kejam,heinous,Raja itu sangat kejam pada rakyatnya.
893,kejam,ruthless,Raja itu sangat kejam pada rakyatnya.
894,kejam,savage,Raja itu sangat kejam pada rakyatnya.
895,kejam,vicious,Raja itu sangat kejam pada rakyatnya.
896,keji,brutal,Perbuatan itu sungguh keji.
897,keji,despicable,Perbuatan itu sungguh keji.
898,keji,foul,Perbuatan itu sungguh keji.
899,keji,mean,Perbuatan itu sungguh keji.
900,keji,nasty,Perbuatan itu sungguh keji.
901,keji,vicious,Perbuatan itu sungguh keji.
902,keji,vile,Perbuatan itu sungguh keji.
903,keji,villainous,Perbuatan itu sungguh keji.
904,keji,wicked,Perbuatan itu sungguh keji.
905,kekayaan,earnings,Kekayaan alam Indonesia sangat melimpah.
906,kekayaan,fortune,Kekayaan alam Indonesia sangat melimpah.
907,kekayaan,money,Kekayaan alam Indonesia sangat melimpah.
908,kekayaan,riches,Kekayaan alam Indonesia sangat melimpah.
909,kekayaan,richess,Kekayaan alam Indonesia sangat melimpah.
910,kekayaan,wealth,Kekayaan alam Indonesia sangat melimpah.
911,kekayaan,wealthy,Kekayaan alam Indonesia sangat melimpah.
912,kekerasan,hardness,Hentikan kekerasan terhadap anak.
913,kekerasan,harshness,Hentikan kekerasan terhadap anak.
914,kekerasan,violence,Hentikan kekerasan terhadap anak.
915,kekuatan,capacity,Kita harus menyatukan kekuatan.
916,kekuatan,energy,Kita harus menyatukan kekuatan.
917,kekuatan,force,Kita harus menyatukan kekuatan.
918,kekuatan,fortitude,Kita harus menyatukan kekuatan.
919,kekuatan,might,Kita harus menyatukan kekuatan.
920,kekuatan,power,Kita harus menyatukan kekuatan.
921,kekuatan,strength,Kita harus menyatukan kekuatan.
922,kelaparan,famine,Banyak orang menderita kelaparan.
923,kelaparan,hunger,Banyak orang menderita kelaparan.
924,kelaparan,starvation,Banyak orang menderita kelaparan.
925,kelaparan,starving,Banyak orang menderita kelaparan.
926,keluar,book it out,Silakan keluar dari ruangan ini.
927,keluar,come out,Silakan keluar dari ruangan ini.
928,keluar,escape,Silakan keluar dari ruangan ini.
929,keluar,exit,Silakan keluar dari ruangan ini.
930,keluar,get out,Silakan keluar dari ruangan ini.
931,keluar,go out,Silakan keluar dari ruangan ini.
932,keluar,out,Silakan keluar dari ruangan ini.
933,keluar,run,Silakan keluar dari ruangan ini.
934,keluar,step outside,Silakan keluar dari ruangan ini.
935,kematian,death,Kematian adalah hal yang pasti.
936,kematian,demise,Kematian adalah hal yang pasti.
937,kematian,fatality,Kematian adalah hal yang pasti.
938,kematian,mortality,Kematian adalah hal yang pasti.
939,kembali,back,Kapan kamu kembali ke Jakarta?
940,kembali,change,Kapan kamu kembali ke Jakarta?
941,kembali,come back,Kapan kamu kembali ke Jakarta?
942,kembali,comeback,Kapan kamu kembali ke Jakarta?
943,kembali,go back,Kapan kamu kembali ke Jakarta?
944,kembali,return,Kapan kamu kembali ke Jakarta?
945,kembali,revert,Kapan kamu kembali ke Jakarta?
946,kembali,turn back,Kapan kamu kembali ke Jakarta?
947,kena,affected,Bajuku kena tumpahan kopi.
948,kena,catch,Bajuku kena tumpahan kopi.
949,kena,get,Bajuku kena tumpahan kopi.
950,kena,get hit,Bajuku kena tumpahan kopi.
951,kena,infected with,Bajuku kena tumpahan kopi.
952,kenal,acquainted with,Saya tidak kenal orang itu.
953,kenal,familiar with,Saya tidak kenal orang itu.
954,kenal,know,Saya tidak kenal orang itu.
955,kenyamanan,amenity,Kami utamakan kenyamanan pelanggan.
956,kenyamanan,comfort,Kami utamakan kenyamanan pelanggan.
957,kenyamanan,convenience,Kami utamakan kenyamanan pelanggan.
958,kenyamanan,cosiness,Kami utamakan kenyamanan pelanggan.
959,kenyamanan,ease,Kami utamakan kenyamanan pelanggan.
960,kepentingan,behalf,Dahulukan kepentingan umum.
961,kepentingan,benefit,Dahulukan kepentingan umum.
962,kepentingan,concerns,Dahulukan kepentingan umum.
963,kepentingan,importance,Dahulukan kepentingan umum.
964,kepentingan,interest,Dahulukan kepentingan umum.
965,kepentingan,prominence,Dahulukan kepentingan umum.
966,kepentingan,significance,Dahulukan kepentingan umum.
967,keras,hard,Batu ini sangat keras.
968,keras,harsh,Batu ini sangat keras.
969,keras,loud,Batu ini sangat keras.
970,keras,rigid,Batu ini sangat keras.
971,keras,rigorous,Batu ini sangat keras.
972,keras,solid,Batu ini sangat keras.
973,keras,stern,Batu ini sangat keras.
974,keras,stiff,Batu ini sangat keras.
975,keras,strict,Batu ini sangat keras.
976,keras,strong,Batu ini sangat keras.
977,keras,tough,Batu ini sangat keras.
978,keren,amazing,Mobil baru itu sangat keren.
979,keren,awesome,Mobil baru itu sangat keren.
980,keren,badass,Mobil baru itu sangat keren.
981,keren,cool,Mobil baru itu sangat keren.
982,keren,dashing,Mobil baru itu sangat keren.
983,keren,fashionable,Mobil baru itu sangat keren.
984,keren,gnarly,Mobil baru itu sangat keren.
985,keren,impressive,Mobil baru itu sangat keren.
986,keren,rad,Mobil baru itu sangat keren.
987,keren,sharp,Mobil baru itu sangat keren.
988,keren,stylish,Mobil baru itu sangat keren.
989,kerugian,deprivation,Perusahaan mengalami kerugian besar.
990,kerugian,detriment,Perusahaan mengalami kerugian besar.
991,kerugian,disadvantage,Perusahaan mengalami kerugian besar.
992,kerugian,loss,Perusahaan mengalami kerugian besar.
993,kerugian,shortcoming,Perusahaan mengalami kerugian besar.
